,Most Popular Stocks,Div_Yields
0,SSSS,1
1,ZIM,SSSSSSuro Capital Corp
2,PBR,
3,EFSH,182.93%
4,UIHC,6.86
5,SBLK,03/24/2022
6,STG,3.780
7,GOGL,3.720
8,DSX,94.72K
9,OCCI,--
10,ARR,-1.7115
11,IMOS,113.72M
12,HIMX,2
13,IVR,ZZIMZim Integrated Shipping Serv
14,EC,
15,GLT,109.85%
16,NCMI,27.10
17,LDI,08/26/2022
18,MITT,24.90
19,AKO-A,23.76
20,AVAL,2.93M
21,CHMI,--
22,BWMX,0.4785
23,MFA,2.96B
24,NHTC,3
25,ORC,PPBRPetroleo Brasileiro S.A. Petrobras
26,SHIP,
27,NLY,45.38%
28,TWO,6.30
29,CPAC,08/12/2022
30,CCU,14.01
31,GECC,13.68
32,AKO-B,21.68M
33,EDUC,--
34,EGLE,2.9469
35,AGNC,90.59B
36,OXLC,4
37,WILC,1EFSH1847 Holdings
38,CIM,
39,NEWT,44.20%
40,WMC,0.8000
41,LND,08/03/2022
42,NYMT,1.900
43,ING,1.730
44,BEDU,5.90K
45,SPOK,--
46,ICMB,-0.2950
47,PMT,7.24M
48,SID,5
49,BRMK,UUIHCUnited Ins Hldgs Corp
50,,
51,,42.93%
52,,0.2400
53,,03/08/2022
54,,0.5688
55,,0.5430
56,,49.71K
57,,--
58,,-0.2024
59,,24.21M
60,,6
61,,SSBLKStar Bulk Carriers Corp.
62,,
63,,32.84%
64,,6.60
65,,08/24/2022
66,,20.22
67,,19.49
68,,1.49M
69,,--
70,,2.3103
71,,2.06B
72,,7
73,,SSTGSunlands Tech
74,,
75,,31.48%
76,,1.360
77,,06/29/2022
78,,4.320
79,,4.300
80,,1.48K
81,,--
82,,0.7145
83,,60.52M
84,,8
85,,GGOGLGolden Ocean Group Ltd
86,,
87,,28.47%
88,,2.400
89,,09/06/2022
90,,8.46
91,,8.20
92,,1.27M
93,,--
94,,2.4648
95,,1.69B
96,,9
97,,DDSXDiana Shipping Inc
98,,
99,,27.09%
100,,1.100
101,,08/05/2022
102,,4.080
103,,3.900
104,,486.61K
105,,--
106,,3.0007
107,,349.97M
108,,10
109,,OOCCIOfs Credit Company Inc
110,,
111,,26.57%
112,,2.200
113,,09/12/2022
114,,8.36
115,,8.07
116,,27.18K
117,,--
118,,7.7623
119,,72.04M
120,,11
121,,AARRArmour Resid
122,,
123,,24.59%
124,,1.200
125,,10/14/2022
126,,5.10
127,,4.690
128,,8.02M
129,,--
130,,-4.0871
131,,559.42M
132,,12
133,,CIMOSChipmos Technolo
134,,
135,,24.48%
136,,4.458
137,,06/29/2022
138,,18.35
139,,18.19
140,,20.34K
141,,--
142,,3.7326
143,,662.15M
144,,13
145,,HHIMXHimax Technologi
146,,
147,,24.41%
148,,1.250
149,,06/29/2022
150,,5.18
151,,4.990
152,,1.65M
153,,--
154,,1.7273
155,,892.42M
156,,14
157,,IIVRInvesco Mort
158,,
159,,24.23%
160,,2.600
161,,10/07/2022
162,,10.88
163,,10.10
164,,1.39M
165,,--
166,,-0.9466
167,,354.35M
168,,15
169,,EECEcopetrol
170,,
171,,24.12%
172,,2.258
173,,06/28/2022
174,,9.51
175,,9.28
176,,1.38M
177,,--
178,,3.6161
179,,19.24B
180,,16
181,,GGLTGlatfelter Corporation
182,,
183,,24.03%
184,,0.5600
185,,06/30/2022
186,,2.770
187,,2.280
188,,2.60M
189,,--
190,,-0.9163
191,,104.38M
192,,17
193,,NNCMINational Cinemedia Inc
194,,
195,,23.35%
196,,0.1200
197,,08/19/2022
198,,0.5700
199,,0.4905
200,,1.24M
201,,--
202,,-1.2789
203,,42.09M
204,,18
205,,LLDILoandepot Inc
206,,
207,,22.86%
208,,0.3200
209,,04/01/2022
210,,1.475
211,,1.340
212,,570.14K
213,,--
214,,-3.1271
215,,438.65M
216,,19
217,,AMITTAg Mtg Invt Tr Inc
218,,
219,,22.52%
220,,0.8400
221,,09/29/2022
222,,3.870
223,,3.600
224,,176.72K
225,,--
226,,-4.5344
227,,83.93M
228,,20
229,,EAKO-AEmbotellad Andin
230,,
231,,22.32%
232,,1.953
233,,08/19/2022
234,,9.04
235,,8.75
236,,693
237,,--
238,,7.3780
239,,1.38B
240,,21
241,,GAVALGrupo Avl Acions
242,,
243,,21.97%
244,,0.5186
245,,06/01/2022
246,,2.490
247,,2.360
248,,47.42K
249,,--
250,,4.6311
251,,2.80B
252,,22
253,,CCHMICherry Hill Mtg Invt Corp
254,,
255,,21.91%
256,,1.080
257,,09/29/2022
258,,5.02
259,,4.830
260,,112.63K
261,,--
262,,14.2403
263,,96.86M
264,,23
265,,BBWMXBetterware Mex
266,,
267,,21.63%
268,,1.598
269,,08/24/2022
270,,7.50
271,,7.34
272,,9.57K
273,,--
274,,4.5626
275,,275.77M
276,,24
277,,MMFAMfa Financial
278,,
279,,21.57%
280,,1.760
281,,09/29/2022
282,,8.24
283,,7.71
284,,4.24M
285,,--
286,,-16.4915
287,,830.63M
288,,25
289,,NNHTCNatural Health Trends Corp
290,,
291,,21.51%
292,,0.8000
293,,08/15/2022
294,,3.766
295,,3.670
296,,15.53K
297,,--
298,,54.5455
299,,42.49M
300,,26
301,,OORCOrchid Is Cap Inc
302,,
303,,21.24%
304,,1.920
305,,09/29/2022
306,,9.26
307,,8.67
308,,1.99M
309,,--
310,,-1.4560
311,,317.08M
312,,27
313,,SSHIPSeanergy Maritime Hldgs Corp
314,,
315,,20.86%
316,,0.1000
317,,09/22/2022
318,,0.5200
319,,0.4611
320,,2.76M
321,,--
322,,1.9073
323,,87.23M
324,,28
325,,ANLYAnnaly Capital
326,,
327,,20.75%
328,,3.520
329,,09/29/2022
330,,17.08
331,,16.38
332,,11.75M
333,,--
334,,1.6806
335,,7.55B
336,,29
337,,TTWOTwo Hbrs Invt Corp
338,,
339,,20.67%
340,,0.6800
341,,11/02/2022
342,,3.360
343,,3.150
344,,5.88M
345,,--
346,,5.3749
347,,1.13B
348,,30
349,,CCPACCementos Pacasma
350,,
351,,19.68%
352,,0.9957
353,,06/21/2021
354,,5.10
355,,4.940
356,,10.23K
357,,--
358,,8.8492
359,,428.95M
360,,31
361,,CCCUCompania
362,,
363,,19.48%
364,,2.015
365,,04/25/2022
366,,10.56
367,,10.27
368,,232.12K
369,,--
370,,10.2457
371,,1.91B
372,,32
373,,GGECCGreat Elm Capital Corp
374,,
375,,18.65%
376,,1.800
377,,09/14/2022
378,,9.84
379,,9.51
380,,8.14K
381,,--
382,,-1.2506
383,,73.36M
384,,33
385,,EAKO-BEmbotellad Andin
386,,
387,,18.32%
388,,2.149
389,,08/19/2022
390,,11.73
391,,10.38
392,,21.40K
393,,--
394,,9.8896
395,,1.85B
396,,34
397,,EEDUCEducation Dvel
398,,
399,,18.26%
400,,0.4000
401,,02/18/2022
402,,2.250
403,,2.180
404,,4.70K
405,,--
406,,7.8636
407,,19.02M
408,,35
409,,EEGLEEagle Bulk Shipping Inc
410,,
411,,18.21%
412,,8.80
413,,08/15/2022
414,,48.46
415,,46.11
416,,262.97K
417,,--
418,,2.5173
419,,661.56M
420,,36
421,,AAGNCAgnc Invt Corp
422,,
423,,18.00%
424,,1.440
425,,10/28/2022
426,,8.25
427,,7.69
428,,27.29M
429,,--
430,,-4.1955
431,,4.18B
432,,37
433,,OOXLCOxford Lane Cap Corp
434,,
435,,17.48%
436,,0.9000
437,,10/14/2022
438,,5.21
439,,4.975
440,,1.28M
441,,--
442,,4.5859
443,,805.46M
444,,38
445,,GWILCG Willi Food Intl Ltd
446,,
447,,17.38%
448,,2.217
449,,09/12/2022
450,,12.76
451,,12.76
452,,21
453,,--
454,,21.4094
455,,176.94M
456,,39
457,,CCIMChimera Invt Corp
458,,
459,,17.07%
460,,0.9200
461,,09/29/2022
462,,5.50
463,,5.19
464,,3.67M
465,,--
466,,-8.0797
467,,1.25B
468,,40
469,,NNEWTNewtek Business
470,,
471,,17.02%
472,,2.600
473,,09/19/2022
474,,15.45
475,,14.93
476,,134.82K
477,,--
478,,6.0188
479,,372.15M
480,,41
481,,WWMCWestern Asset
482,,
483,,16.58%
484,,1.600
485,,09/30/2022
486,,9.97
487,,9.54
488,,9.31K
489,,--
490,,-0.8966
491,,58.27M
492,,42
